active_weeks,target_variable,total_volume,trader_activity_status,trader_volume_status,trader_weekly_frequency_status,tx_count_365d,wallet
1,Bad Trader,1607.8025243482402,Regular User,Middle Value Trader,Unserious,9,0x0efd4fa96373f2ae6f5b5fb773f144ea739a34df
1,Bad Trader,44.160978,Occasional User,Low Value Trader,Unserious,1,0x3233820e2ced7b9c47cca07db8215e5ca71e99c9
1,Bad Trader,1.936885,Occasional User,Low Value Trader,Unserious,1,0x8da4f36e90e7be8379348f3637d54efa2aad070c
3,Bad Trader,0.1786591287291037,Regular User,Low Value Trader,OG,4,0x171222c4559b82875b4c388c831b4dd3a0cd032e
1,Bad Trader,3532.7620269,Occasional User,Middle Value Trader,Unserious,1,0x97b565ea5b79bfb9585e8084836b3de913ce47de
1,Bad Trader,481.896988,Occasional User,Middle Value Trader,Unserious,1,0x2e2fa04ebb8b913458fd26dd4fe59288f6ecdbb5
1,Bad Trader,905.4384827461952,Occasional User,Middle Value Trader,Unserious,1,0x1cfc73dbe9f1468333fd0193076fecc9e17b28d8
1,Bad Trader,74.83987231316708,Occasional User,Middle Value Trader,Unserious,1,0x2851d6d21e344e579b535ed03a2f34c5837a0f36
2,Bad Trader,11.52964872572498,Regular User,Low Value Trader,Just there,2,0x041944601dabf38366542a06ec870944974fc4d5
1,Bad Trader,47.10469677560282,Occasional User,Low Value Trader,Unserious,1,0x13551ddcaf6637d6a1da7fefa5d3b0214a8e6c82
1,Bad Trader,33.56155615237258,Occasional User,Low Value Trader,Unserious,1,0x358616971380274a3f0e7d4bd51195310992bdd4
1,Bad Trader,11.540988448659878,Regular User,Low Value Trader,Unserious,2,0x452f10e718386c1aa7944f68f1454e3ddb387245
1,Bad Trader,7812.049891810036,Occasional User,Middle Value Trader,Unserious,1,0x2ed67dd1663808ff18a4fc97e9573dabb953166d
1,Bad Trader,19.28515273233293,Occasional User,Low Value Trader,Unserious,1,0x49dd9c65109ecb526391e4061c34447148deccd1
1,Bad Trader,5.734015888208899,Regular User,Low Value Trader,Unserious,2,0x56744154d58b37e5566091c9e514d9256cb90345
1,Bad Trader,7.74754e-05,Regular User,Low Value Trader,Unserious,2,0x880f81e85b8399182f8288f4e609073970447809
1,Bad Trader,13.70539826,Occasional User,Low Value Trader,Unserious,1,0xbbd5aa1e0053491a631412a2e46c10c8938c7863
1,Bad Trader,34.99723087236448,Occasional User,Low Value Trader,Unserious,1,0xaa3d8e1788274b0c1bb683e787dcf2922962e720
1,Bad Trader,5.36758171607145,Regular User,Low Value Trader,Unserious,2,0x688b7de886fb0f7889e9d9ad2b6956749c458d61
1,Bad Trader,170.3801421231,Occasional User,Middle Value Trader,Unserious,1,0xe21caf7491bd8124636c4cc57c8a49e172eb2ceb
4,Bad Trader,3.994589273895823,Regular User,Low Value Trader,OG,7,0xfa75f2317220996109c373bef1c21b4cf8766f2a
1,Bad Trader,711.8737928180843,Occasional User,Middle Value Trader,Unserious,1,0xbac24e4704007501ccd8630dccbc7c20cc658539
1,Bad Trader,68.43407695402244,Occasional User,Low Value Trader,Unserious,1,0xf05c23c91ccf8b8d2134e245191148fc1d31be6c
2,Bad Trader,34.43555698072657,Regular User,Low Value Trader,Just there,2,0x85193c845adaab8ad2d155a03ed5eb5845032de6
1,Bad Trader,0.00387377,Occasional User,Low Value Trader,Unserious,1,0xe19dab9f172ceaeaaac9940d34c425057cf3dbe6
1,Bad Trader,631.8226173429,Occasional User,Middle Value Trader,Unserious,1,0x1e6f4eb09e248e5277b6eaa70c5f0da85099518a
1,Bad Trader,0.0355989527115108,Occasional User,Low Value Trader,Unserious,1,0x583aba5d8bbee8a4296989ef63fd11b090818448
1,Bad Trader,531.4958133952144,Regular User,Middle Value Trader,Unserious,2,0xe63be94917300da5a232cd27a10a71ac0f92506a
1,Bad Trader,12782.201274425684,Regular User,Middle Value Trader,Unserious,3,0x14f22377ed9255053bed8872acfb307f652fdab8
1,Bad Trader,12.784601178447971,Occasional User,Low Value Trader,Unserious,1,0x20716b8f2f633b3d8e94867c27532df42df4e84a
1,Bad Trader,4.4278353231,Occasional User,Low Value Trader,Unserious,1,0x1dc8f1780eabfd1e4b62c67b0d18fa0e5103f7d8
1,Bad Trader,1.0088801308922632,Regular User,Low Value Trader,Unserious,2,0x540e9e545dde36cdefdc01b4214da235a1eabbbf
1,Bad Trader,2.5156176769683,Occasional User,Low Value Trader,Unserious,1,0x13f703d2c594c96f4e7e698fad590d1d8acc4251
1,Bad Trader,4.130366808138825,Occasional User,Low Value Trader,Unserious,1,0x7b20e790c3934f15701077fd1a695b7044f53364
4,Bad Trader,69.83291583368592,Regular User,Low Value Trader,OG,8,0x2a91a9a5f8664ea79528b5469bcce2d81cb52dcf
5,Bad Trader,10.395120598745626,Regular User,Low Value Trader,OG,5,0xa8dd148f5205a1f67b7e8aa9fc65fffb987dbb22
1,Bad Trader,66.30390838788941,Occasional User,Low Value Trader,Unserious,1,0x38ce2bea4a1b890e1f900487bdc7ae65e10dc79b
1,Bad Trader,159.49508381251712,Occasional User,Middle Value Trader,Unserious,1,0x7c9dcd71ee7454f4bf15d2fe5b103986505ef662
1,Bad Trader,19.33369019953583,Occasional User,Low Value Trader,Unserious,1,0x6664663d84a2076a6459f7c3a4f93c7ed0cb7b80
1,Bad Trader,4605.9125300000005,Regular User,Middle Value Trader,Unserious,5,0xcc058f16c37f3aae6a31395b321fcc0398ede4fe
1,Bad Trader,3.87377e-07,Occasional User,Low Value Trader,Unserious,1,0x2a250161b6ab2335c643e86174274919983d576a
4,Bad Trader,15.9211947,Regular User,Low Value Trader,OG,7,0xf98131a6385b5350896198345cd7e684b898eb29
1,Bad Trader,443.34911840115456,Occasional User,Middle Value Trader,Unserious,1,0x8c34fbf55539edd4369a241634fe2b62f9e58f45
1,Bad Trader,0.00774754,Regular User,Low Value Trader,Unserious,2,0x2823010aeb456556545f1ceb71cce9504a2a85fa
1,Bad Trader,138.3028017547648,Occasional User,Middle Value Trader,Unserious,1,0x1f7940aae0f50c59e36c8a013f6e0682453e6ce7
1,Bad Trader,0.00387377,Occasional User,Low Value Trader,Unserious,1,0xd3d5c864440896e68ceeddf30fa6bb6cf542bf13
3,Bad Trader,54.9338911600573,Regular User,Low Value Trader,OG,3,0x7d5b719116d33fef70151c2c0c0cddc51dced48f
2,Bad Trader,28.01425701263876,Regular User,Low Value Trader,Just there,2,0xc03365488478fd987102d5dabc5585fe98dc668b
1,Bad Trader,63.04067257807397,Occasional User,Low Value Trader,Unserious,1,0x426f0ef45ab29ff3482b4bac36c68c7dc1e8c64e
1,Bad Trader,63.95833226214089,Occasional User,Low Value Trader,Unserious,1,0x336664a09e6f7afa4ff4ceeb5ffd258026ca6cbc
1,Bad Trader,2.4418823441601405,Occasional User,Low Value Trader,Unserious,1,0xdaf8b28c176e3607287de3e4291d8f9a72c39d9c
3,Bad Trader,58.02090542444739,Regular User,Low Value Trader,OG,6,0x94d1592696892ae2ac7cf109b913cc902cda2c81
6,Bad Trader,65.25776233905361,Frequent User,Low Value Trader,OG,26,0x5dff54b9a6a62d8adfcace3cb540671b2cd8c786
1,Bad Trader,137.32941129199747,Regular User,Middle Value Trader,Unserious,6,0xa423aac021d5903abd56f305aa8b229ec5692c5a
1,Bad Trader,1946.6668123578609,Occasional User,Middle Value Trader,Unserious,1,0x9115327c4f49b32e27a33d089145f9325d82f55f
1,Bad Trader,269.90281989588846,Occasional User,Middle Value Trader,Unserious,1,0xef5a15fbbd0c6d0aa2b623b4725cb5d7403dc24a
4,Bad Trader,11.42644075234598,Regular User,Low Value Trader,OG,5,0x90d07cd5a67075716d8b70a4deb93473d714b563
3,Bad Trader,0.0618900558591868,Regular User,Low Value Trader,OG,4,0x6e4a0d8a6c5c79944cd259560de44d337e272f17
2,Bad Trader,0.0136273441214736,Regular User,Low Value Trader,Just there,2,0x11cd8b18853d5bcb681d4d7432631d5f4c353726
1,Bad Trader,1164.1321982603563,Regular User,Middle Value Trader,Unserious,6,0xc2121ba1815d4f0c1909d99ad9ebe0ba57cebebd
1,Bad Trader,15.834989336120229,Occasional User,Low Value Trader,Unserious,1,0xada0e0aabd630b2278f0f8fc67870237f9a7fe18
1,Bad Trader,105.99107704172272,Occasional User,Middle Value Trader,Unserious,1,0xa706ee88d4567d9ed352f8ca928cd0734cad03da
2,Bad Trader,35.032930707238975,Regular User,Low Value Trader,Just there,2,0x9e337615ea34648dcf44b9360d3a380596a2da4a
1,Bad Trader,153.3021894512722,Occasional User,Middle Value Trader,Unserious,1,0xbc3d85add9be30f742adaa3f517d3fa209fb6f72
2,Bad Trader,10.611983299583589,Regular User,Low Value Trader,Just there,2,0x63ebd1b08a3086648db6b1013bf64668ed2e5446
1,Bad Trader,56.13469144008158,Occasional User,Low Value Trader,Unserious,1,0x37be354949ec1b4b7b47ce68edb92d5a3a288bd4
18,Bad Trader,34.86393,Frequent User,Low Value Trader,OG,99,0xa3cc4d4f0c6c55377b49a61c022f2b4f19cd69cf
2,Bad Trader,1.6902622584632867,Regular User,Low Value Trader,Just there,2,0x451fcfd024264ded20911831895f106282247f13
1,Bad Trader,75230.2475681659,Regular User,High Value Trader,Unserious,4,0x91adc8ac7ff6578d3553f78960d019132b9b7b11
1,Bad Trader,6.972102901486847,Regular User,Low Value Trader,Unserious,2,0xc46590b2dc8caebc437424403bc76d2631c03a5a
2,Bad Trader,56.2901005093,Regular User,Low Value Trader,Just there,2,0xb252f29e522594d766e23c550c9e51918b000bb5
1,Bad Trader,11.395837328157052,Occasional User,Low Value Trader,Unserious,1,0xc79f077bcb1cdcd84c348a737d5a2763dbb7bcdf
1,Bad Trader,65.8044670063,Occasional User,Low Value Trader,Unserious,1,0x653fab2d274596af25d0e8b20771e28e32c52d11
21,Bad Trader,69.72785999999999,Frequent User,Low Value Trader,OG,32,0x046bbbabede26375f25b7ef7d63ca4ee82e6f9a3
1,Bad Trader,595.1557573095,Occasional User,Middle Value Trader,Unserious,1,0x8799f2a43b56c1f6132a572d37906ed494591492
1,Bad Trader,1234.8474048892272,Occasional User,Middle Value Trader,Unserious,1,0x36e0b2484d0ed65cdf1a9e3d859022f804a09eb4
1,Bad Trader,0.01162131,Regular User,Low Value Trader,Unserious,3,0x552a7b5065001f30492aa66ad1112e51223cc76e
1,Bad Trader,1.7160801099999998,Regular User,Low Value Trader,Unserious,2,0x3bf5145346fe37dceb2b8bcb68fbf5a27a5f7983
1,Bad Trader,16.00215793623112,Occasional User,Low Value Trader,Unserious,1,0x478298008faff1c11c7b3fb649699e1ed4febc31
1,Bad Trader,7852.241463333122,Occasional User,Middle Value Trader,Unserious,1,0xc0d04a69019326339152f65258a5890c710f373a
2,Bad Trader,0.2765130944607399,Regular User,Low Value Trader,Just there,2,0xac5681b82b267a67fd6edd138fb41946e6fc8c8c
1,Bad Trader,3.626324598374034,Occasional User,Low Value Trader,Unserious,1,0xf281844a3ebb6cf689b5195732ef14cff5e9d8a3
1,Bad Trader,117.8630840527045,Occasional User,Middle Value Trader,Unserious,1,0x4e9eb1ca047b1334a3e6cf8decda0b5956c12f07
1,Bad Trader,3.87377e-07,Occasional User,Low Value Trader,Unserious,1,0x0ef0bbb9ad3d4865d839d69cac1a86c311c14730
3,Bad Trader,16.318667828618675,Regular User,Low Value Trader,OG,7,0x258c0d4ec51a7730319271470a5fac7f692b8593
1,Bad Trader,9.740697159339,Regular User,Low Value Trader,Unserious,4,0x60a84edc52fab114d4530f727348ae305d995111
1,Bad Trader,719.153391813,Occasional User,Middle Value Trader,Unserious,1,0xc58c97b56bf0bce45718325c659db2af47243988
2,Bad Trader,0.1713534487211609,Regular User,Low Value Trader,Just there,2,0xa03eff4d3262fcf4d99aad099bb6a407d3521a1a
2,Bad Trader,28.1664140962,Regular User,Low Value Trader,Just there,3,0x174cade65cdcd139cdb0cf0afb67d87c0cffb104
2,Bad Trader,37.19414376904712,Regular User,Low Value Trader,Just there,6,0x5706cd2236249574ce6ab4050ed003932b9be663
1,Bad Trader,21.656815172211143,Frequent User,Low Value Trader,Unserious,50,0xd8da447bf6a2e35e8b890d439dbcb85ef637e99b
1,Bad Trader,8.5436384727,Regular User,Low Value Trader,Unserious,2,0x650bdf1952d0c83918e806367e628a7bc4bde950
6,Bad Trader,15.99632579157448,Regular User,Low Value Trader,OG,8,0x4bd96cc0512218421f46c622886726b10e7d33b4
1,Bad Trader,75.755058743,Occasional User,Middle Value Trader,Unserious,1,0xa8e2db55210c8c33258149b5c5fb4ed5ddd711f3
1,Bad Trader,1.162131e-06,Regular User,Low Value Trader,Unserious,3,0xc3d7c4d517c23fc0e03c1bc91de986496c70cd5d
1,Bad Trader,1747.5571369820177,Occasional User,Middle Value Trader,Unserious,1,0x6c410b927ea280ac40cfae1387e5bcfe616d4003
1,Bad Trader,4.105654275141819,Occasional User,Low Value Trader,Unserious,1,0xd175529cd1f2549a3f9c51604b7c03263f8d5997
1,Bad Trader,218.2680358559916,Occasional User,Middle Value Trader,Unserious,1,0x50482488e2e0cf7307e6fb38e1fcd69affdb92de
1,Bad Trader,37.4008353214624,Occasional User,Low Value Trader,Unserious,1,0x70666686e697264f67f537eb87f97757ba82ee95
1,Bad Trader,293.827516563011,Occasional User,Middle Value Trader,Unserious,1,0x4bcdb60d7f3dc20505ffa7c6fcdf817ee0f48b52
2,Bad Trader,40.90420804168336,Regular User,Low Value Trader,Just there,2,0x1b644567159b41ab36bab9873554a28893aed9dd
2,Bad Trader,0.7508141014,Regular User,Low Value Trader,Just there,3,0x73e172e70ef5d3bb567ac3746d2982aaa1be1ef9
1,Bad Trader,740.4903743506794,Occasional User,Middle Value Trader,Unserious,1,0x569f3a19bb4f160e7a741fc441216b62231b2538
1,Bad Trader,130.3833893977,Occasional User,Middle Value Trader,Unserious,1,0x092b5ec3104e711f13b0c27b9ed3856ea937c4ee
1,Bad Trader,52.28814746,Occasional User,Low Value Trader,Unserious,1,0x6974ca64f5dc66628bf9afdfbe6206b8d7525718
4,Bad Trader,38.7242283339734,Regular User,Low Value Trader,OG,7,0x241c5609b3db4571f084acbeb11270241f47863f
1,Bad Trader,2014.2441869,Occasional User,Middle Value Trader,Unserious,1,0x81da57d96e76764c74148e548df5e4eacc25e051
1,Bad Trader,481.74133993200246,Occasional User,Middle Value Trader,Unserious,1,0xb87e4ee39bc93cd9426edc947987c08305d84a2b
1,Bad Trader,0.4121515846406917,Regular User,Low Value Trader,Unserious,5,0x879608b735fc78c43f36f48a176ab38f5ce3218b
2,Bad Trader,0.1279893607999999,Regular User,Low Value Trader,Just there,3,0xfdc57ff3bd92be17b8247954b9381b196c3816e8
5,Bad Trader,65.77433479696761,Regular User,Low Value Trader,OG,9,0xa3d00a3c05caac03ab2865840e3a0c64b44a46d6
4,Bad Trader,70.889991,Regular User,Low Value Trader,OG,6,0xdce1fc9844c3eb1ba9e4bbc4c2420b254c008cdc
1,Bad Trader,3806.2714333559447,Occasional User,Middle Value Trader,Unserious,1,0xbaa94c6da4de11272a66a27e49ad8bd5e15a11bc
2,Bad Trader,13.13410327264294,Regular User,Low Value Trader,Just there,3,0xe80541419bc4ae8ff263f595ecf0b2727ea8fbfb
1,Bad Trader,177.922643477,Occasional User,Middle Value Trader,Unserious,1,0x1c91ff73b3e98d3ac63dcedbb83d5a16ed144e6e
2,Bad Trader,56.43919962667898,Regular User,Low Value Trader,Just there,4,0x0ecf78c952f8598d9578f27c03f018971de580ce
1,Bad Trader,0.3773897549398537,Occasional User,Low Value Trader,Unserious,1,0xdab65dcadac66085d7cb97e3036121344f8c9b50
1,Bad Trader,77.85008524651106,Occasional User,Middle Value Trader,Unserious,1,0x3ccade2bba72905cd2a6c3c1e9a113d06887694c
2,Bad Trader,71.2967202306709,Regular User,Low Value Trader,Just there,4,0xdfcf172aa366be660875c330b708b7af9a44605e
1,Bad Trader,123.78464719735058,Occasional User,Middle Value Trader,Unserious,1,0x8d39926381b20b99c741900dba0613a3ccd35fea
1,Bad Trader,437.73601,Occasional User,Middle Value Trader,Unserious,1,0x945b80d3140ecce3db0d857af7c3f283af33494b
1,Bad Trader,1.4349642859265936,Occasional User,Low Value Trader,Unserious,1,0x41c084ad359f1d98a533d9a53c77b688401ead4a
1,Bad Trader,0.0387377,Occasional User,Low Value Trader,Unserious,1,0xf0d5aa13b6d3f68bf3d19a50aaa1164f2b0c3e4e
2,Bad Trader,49.63532402757576,Regular User,Low Value Trader,Just there,2,0x9d96ec9025865866097c0d0e7d46aa6b41c11794
1,Bad Trader,2280.665272097184,Occasional User,Middle Value Trader,Unserious,1,0x602bffa41a61981d3d9d546c6b10990ba67d134a
1,Bad Trader,0.5131718976537668,Occasional User,Low Value Trader,Unserious,1,0x42cefe3a56fdf9b8be21f9d4ffd7fda64f2e7a4e
2,Bad Trader,0.7417494796,Regular User,Low Value Trader,Just there,7,0xae703b9f4c3193871a1a4ba77409fc312af581b1
1,Bad Trader,171.6261471948401,Occasional User,Middle Value Trader,Unserious,1,0x23a447027fab6fc7ddf49ef21937eaf557308ff5
1,Bad Trader,3.87377e-07,Occasional User,Low Value Trader,Unserious,1,0x6eb8f80fa58ee0a088e64e301734bc29dcf59e69
1,Bad Trader,42.72704271689715,Occasional User,Low Value Trader,Unserious,1,0x417134ed823c699ce18e99810ab4375eb2522a57
2,Bad Trader,40.06441089610655,Regular User,Low Value Trader,Just there,8,0xe87c43fd83e309dcff0e6c2bbeb7f6b7f9339fbe
1,Bad Trader,39.4102075065711,Occasional User,Low Value Trader,Unserious,1,0x2f67fef4754f21d214b153e36ac3ab8d254d29bf
2,Bad Trader,0.1239908865579286,Regular User,Low Value Trader,Just there,2,0x4a90cf02ee40c2aac1df3d96a8024a51f6a7d8df
1,Bad Trader,60.085254497123344,Occasional User,Low Value Trader,Unserious,1,0xc24b78980dc5e8160778c30354512e8a0cf60d86
1,Bad Trader,0.3863679253792086,Regular User,Low Value Trader,Unserious,2,0x087bf17b11532a9061b26dfe412de685fadf5994
10,Bad Trader,38.4277984,Frequent User,Low Value Trader,OG,48,0xdd61af6b999cbb915acfcfa911edd98658d87056
1,Bad Trader,1.2329097963577549,Regular User,Low Value Trader,Unserious,3,0xcb74467d56e05d4b81002887b16577165648b4ed
2,Bad Trader,38.4277984,Regular User,Low Value Trader,Just there,4,0x9a35353f7179de0fd45cc3b4f7fd9ac6fe37c73f
7,Bad Trader,0.2224818829478919,Regular User,Low Value Trader,OG,9,0x39ef0ea39701fd11a1c9fceea0cea534d274d66a
1,Bad Trader,97.9597167155453,Regular User,Middle Value Trader,Unserious,2,0x80ff8738b4647807f511084dfbfbab56ffcbeff8
1,Bad Trader,193.65455624532575,Occasional User,Middle Value Trader,Unserious,1,0x9b60e3ac42c03181d2a91b8cf1b85d18eef737b8
1,Bad Trader,0.9495572220332644,Occasional User,Low Value Trader,Unserious,1,0xae8f1b4797090772a9cc0a3e5372595a44275193
1,Bad Trader,24.78039296961701,Occasional User,Low Value Trader,Unserious,1,0xe05c8cd4292fab0b42881f83ad30130edd0b7f26
1,Bad Trader,2.181664991717301,Occasional User,Low Value Trader,Unserious,1,0xaf4bf72d8e81df205661a4a08c08f3d4cbaa72c4
5,Bad Trader,39.08228171781068,Regular User,Low Value Trader,OG,7,0xa3833752b48ba1d297acd40f7ab055edf070d7d9
5,Bad Trader,0.0181757231724575,Regular User,Low Value Trader,OG,6,0xd8a10554b6626cfd95412b89c31a21197e1f36dd
7,Bad Trader,0.01162131,Regular User,Low Value Trader,OG,7,0xb284042c98d4157daaf3c5d3f7e4a8694a7c3783
1,Bad Trader,1.5211907413,Regular User,Low Value Trader,Unserious,2,0xbd05f9c974fb94b024325ce40b24a14d3634e0c0
6,Bad Trader,44.42029959712369,Regular User,Low Value Trader,OG,6,0xb28fe820275b0c1fecb7009e049170a5496fb201
1,Bad Trader,554.8501321219023,Occasional User,Middle Value Trader,Unserious,1,0x86c765bc7c0e7150b5eb67cf203263a17540fb1f
1,Bad Trader,307.86787075,Occasional User,Middle Value Trader,Unserious,1,0x85cf06703592bafa900e1fc9d7520128a5cdef72
1,Bad Trader,2.3996137605483,Occasional User,Low Value Trader,Unserious,1,0xf9233854dc3d42e4ac41f542fec3248b9db2a58d
1,Bad Trader,83.34479254923592,Occasional User,Middle Value Trader,Unserious,1,0x7191bdabc08c9a83f879b3b9825cf00e3b450f17
1,Bad Trader,47.34912227628725,Occasional User,Low Value Trader,Unserious,1,0x509a6962a55b58ddba33c6819a18866589b9f819
1,Bad Trader,38.150136615939445,Occasional User,Low Value Trader,Unserious,1,0x8a9f2f172471a0d83a4dcb510f6d6578d4052535
1,Bad Trader,2304.6788143059,Regular User,Middle Value Trader,Unserious,2,0x89fe3c28bf1193112684637eb1a558fe35cf0e87
14,Bad Trader,37.60160579061301,Frequent User,Low Value Trader,OG,43,0xf25a95439e496ee8c84650ceeea39be92dbf846e
1,Bad Trader,37.42544579535187,Regular User,Low Value Trader,Unserious,2,0xc1518beb500c8123d2612567f646fe1764d13180
14,Bad Trader,38.86845347749831,Frequent User,Low Value Trader,OG,19,0xdedb39286b4b54df8c5223fee2db397f8befb231
8,Bad Trader,8.534428277685878,Frequent User,Low Value Trader,OG,14,0x24c960e2e39cce86177454d4af82050ad8a61871
1,Bad Trader,0.0510357598883435,Regular User,Low Value Trader,Unserious,2,0xcdd3413a033197edc37a2be72179efa7b204fcba
1,Bad Trader,7.107212943301099,Occasional User,Low Value Trader,Unserious,1,0xa9588af0ed51c1331f36844b99b3cdb9cc3d8bc3
1,Bad Trader,3.8737700000000005e-06,Occasional User,Low Value Trader,Unserious,1,0x836ead9834cb9e5ba0fc2db61f0afd5550e312de
2,Bad Trader,2.1821577488442885,Regular User,Low Value Trader,Just there,5,0x6072ba6c3d1bd7ae0d7b700d348f1427eedcc014
1,Bad Trader,41928.59844168164,Occasional User,Middle Value Trader,Unserious,1,0x95801d9e24df1fd864d0947a58e006b9e6c4f7f1
1,Bad Trader,1405.931800146451,Occasional User,Middle Value Trader,Unserious,1,0x91f12bc9689132d7b3fffa2e40ec72ebd5521c74
2,Bad Trader,1.4835397589446842,Regular User,Low Value Trader,Just there,2,0x2ad51111fded79ba599ef3f7f344483e25874bf1
1,Bad Trader,3.87377e-07,Occasional User,Low Value Trader,Unserious,1,0xbfeced6f719bceb4d34caa845891140c51ed2cb9
2,Bad Trader,22.41028277073945,Regular User,Low Value Trader,Just there,3,0x28047eefdf5cb4e5976b9cfa2a96a5d4c43a4acf
5,Bad Trader,3.8737700000000005e-06,Regular User,Low Value Trader,OG,6,0x14fb2b9cb17b4dac0c4bf267f13b4f21342ec577
13,Bad Trader,13.558195,Frequent User,Low Value Trader,OG,42,0xe895de87130fe94da229c9daea3297f23a7b52d8
3,Bad Trader,8.968094557985111,Regular User,Low Value Trader,OG,6,0xf5bbf870bc34e2109944bded506d3992bef918a5
1,Bad Trader,13.2828086907,Occasional User,Low Value Trader,Unserious,1,0xc5549f39afcf927895c07f050200ed56fd7b7a44
1,Bad Trader,5.663734732844808,Occasional User,Low Value Trader,Unserious,1,0x80c2f2f6b34c314945d9ec560cf58ee9db5ebdf1
