active_weeks,target_variable,total_volume,trader_activity_status,trader_volume_status,trader_weekly_frequency_status,tx_count_365d,wallet
3,🔴 Bad Trader,0.17865912872910378,🐤 Regular User,🦐 Low Value Trader,🐦 OG,4,0x171222c4559b82875b4c388c831b4dd3a0cd032e
1,🔴 Bad Trader,3532.7620269,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x97b565ea5b79bfb9585e8084836b3de913ce47de
1,🔴 Bad Trader,481.89698799999996,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x2e2fa04ebb8b913458fd26dd4fe59288f6ecdbb5
1,🔴 Bad Trader,905.4384827461953,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x1cfc73dbe9f1468333fd0193076fecc9e17b28d8
1,🔴 Bad Trader,74.83987231316708,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x2851d6d21e344e579b535ed03a2f34c5837a0f36
2,🔴 Bad Trader,11.529648725724979,🐤 Regular User,🦐 Low Value Trader,🐤 Just there,2,0x041944601dabf38366542a06ec870944974fc4d5
1,🔴 Bad Trader,47.10469677560282,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x13551ddcaf6637d6a1da7fefa5d3b0214a8e6c82
1,🔴 Bad Trader,33.56155615237258,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x358616971380274a3f0e7d4bd51195310992bdd4
1,🔴 Bad Trader,11.540988448659878,🐤 Regular User,🦐 Low Value Trader,🐣 Unserious,2,0x452f10e718386c1aa7944f68f1454e3ddb387245
1,🔴 Bad Trader,7812.049891810036,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x2ed67dd1663808ff18a4fc97e9573dabb953166d
1,🔴 Bad Trader,19.28515273233293,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x49dd9c65109ecb526391e4061c34447148deccd1
1,🔴 Bad Trader,5.734015888208899,🐤 Regular User,🦐 Low Value Trader,🐣 Unserious,2,0x56744154d58b37e5566091c9e514d9256cb90345
1,🔴 Bad Trader,7.74754e-05,🐤 Regular User,🦐 Low Value Trader,🐣 Unserious,2,0x880f81e85b8399182f8288f4e609073970447809
1,🔴 Bad Trader,13.705398259999999,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0xbbd5aa1e0053491a631412a2e46c10c8938c7863
1,🔴 Bad Trader,34.997230872364476,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0xaa3d8e1788274b0c1bb683e787dcf2922962e720
1,🔴 Bad Trader,5.36758171607145,🐤 Regular User,🦐 Low Value Trader,🐣 Unserious,2,0x688b7de886fb0f7889e9d9ad2b6956749c458d61
1,🔴 Bad Trader,170.3801421231,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0xe21caf7491bd8124636c4cc57c8a49e172eb2ceb
4,🔴 Bad Trader,3.994589273895823,🐤 Regular User,🦐 Low Value Trader,🐦 OG,7,0xfa75f2317220996109c373bef1c21b4cf8766f2a
1,🔴 Bad Trader,711.8737928180843,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0xbac24e4704007501ccd8630dccbc7c20cc658539
1,🔴 Bad Trader,68.43407695402244,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0xf05c23c91ccf8b8d2134e245191148fc1d31be6c
2,🔴 Bad Trader,34.43555698072657,🐤 Regular User,🦐 Low Value Trader,🐤 Just there,2,0x85193c845adaab8ad2d155a03ed5eb5845032de6
1,🔴 Bad Trader,0.00387377,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0xe19dab9f172ceaeaaac9940d34c425057cf3dbe6
1,🔴 Bad Trader,631.8226173429,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x1e6f4eb09e248e5277b6eaa70c5f0da85099518a
1,🔴 Bad Trader,0.03559895271151085,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x583aba5d8bbee8a4296989ef63fd11b090818448
1,🔴 Bad Trader,531.4958133952144,🐤 Regular User,🐟 Middle Value Trader,🐣 Unserious,2,0xe63be94917300da5a232cd27a10a71ac0f92506a
1,🔴 Bad Trader,12782.201274425683,🐤 Regular User,🐟 Middle Value Trader,🐣 Unserious,3,0x14f22377ed9255053bed8872acfb307f652fdab8
1,🔴 Bad Trader,12.784601178447971,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x20716b8f2f633b3d8e94867c27532df42df4e84a
1,🔴 Bad Trader,4.4278353231,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x1dc8f1780eabfd1e4b62c67b0d18fa0e5103f7d8
1,🔴 Bad Trader,1.0088801308922632,🐤 Regular User,🦐 Low Value Trader,🐣 Unserious,2,0x540e9e545dde36cdefdc01b4214da235a1eabbbf
1,🔴 Bad Trader,2.5156176769683,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x13f703d2c594c96f4e7e698fad590d1d8acc4251
1,🔴 Bad Trader,4.130366808138825,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x7b20e790c3934f15701077fd1a695b7044f53364
4,🔴 Bad Trader,69.83291583368592,🐤 Regular User,🦐 Low Value Trader,🐦 OG,8,0x2a91a9a5f8664ea79528b5469bcce2d81cb52dcf
5,🔴 Bad Trader,10.395120598745626,🐤 Regular User,🦐 Low Value Trader,🐦 OG,5,0xa8dd148f5205a1f67b7e8aa9fc65fffb987dbb22
1,🔴 Bad Trader,66.30390838788941,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x38ce2bea4a1b890e1f900487bdc7ae65e10dc79b
1,🔴 Bad Trader,159.49508381251712,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x7c9dcd71ee7454f4bf15d2fe5b103986505ef662
1,🔴 Bad Trader,19.33369019953583,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x6664663d84a2076a6459f7c3a4f93c7ed0cb7b80
1,🔴 Bad Trader,4605.9125300000005,🐤 Regular User,🐟 Middle Value Trader,🐣 Unserious,5,0xcc058f16c37f3aae6a31395b321fcc0398ede4fe
1,🔴 Bad Trader,3.87377e-07,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x2a250161b6ab2335c643e86174274919983d576a
4,🔴 Bad Trader,15.921194700000001,🐤 Regular User,🦐 Low Value Trader,🐦 OG,7,0xf98131a6385b5350896198345cd7e684b898eb29
1,🔴 Bad Trader,443.34911840115456,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x8c34fbf55539edd4369a241634fe2b62f9e58f45
1,🔴 Bad Trader,0.00774754,🐤 Regular User,🦐 Low Value Trader,🐣 Unserious,2,0x2823010aeb456556545f1ceb71cce9504a2a85fa
